Source,Target,Weight
Berlin,Halle,-2077
Halle,Leipzig,46
Leipzig,Erfurt,-997
Erfurt,Hamburg,1548
Hamburg,Frankfurt,469
Frankfurt,München,1705
München,Karlsruhe,-3207
Berlin,Leipzig,-2030
Halle,Erfurt,-951
Leipzig,Hamburg,551
Erfurt,Frankfurt,2017
Hamburg,München,2174
Frankfurt,Karlsruhe,-1502
Berlin,Erfurt,-3027
Halle,Hamburg,597
Leipzig,Frankfurt,1020
Erfurt,München,3722
Hamburg,Karlsruhe,-1033
Berlin,Hamburg,-1479
Halle,Frankfurt,1066
Leipzig,München,2725
Erfurt,Karlsruhe,515
Berlin,Frankfurt,-1011
Halle,München,2771
Leipzig,Karlsruhe,-482
Berlin,München,695
Halle,Karlsruhe,-436
Berlin,Karlsruhe,-2512
