Id,Fläche (km^2),Einwohner
Berlin,892,3375222
Halle,135,230494
Leipzig,297,520838
Erfurt,269,203485
Hamburg,755,1740027
Frankfurt,248,687775
München,310,1388308
Karlsruhe,173,219995
